
RE(%)	sigma_RE(%)	HV	Gain
12.084869539795484	0.14045495791439824	400	100
11.27351974321836	0.09955251927135425	400	50
7.591371056192312	0.05068420629053214	450	100
7.135244610072153	0.034929180827252625	450	10
7.268225160697109	0.046224436503435586	450	20
7.546839593262952	0.046102512004427804	450	50
6.856394289230261	0.036186623616481735	500	100
6.753393702743709	0.041486116685240916	500	10
6.819244980678986	0.05967196854714427	500	20
7.07792471145189	0.07336444453332068	500	50
6.430647466783282	0.035549906229893506	500	5
6.971457659135845   0.04540473513962076	550	100
6.997328959774431	0.04453736338853559	550	10
6.955716773851404	0.050947755122018476	550	20
6.871609923609537	0.035397456517442596	550	50
6.729215370444008	0.04778369699657094	550	5
7.016933638676775	0.05959645824960747	600	10
6.8319986882739085	0.026170364967373752	600	20
6.698380219440116	0.044908610425664075	600	2
6.952372784942827	0.03986994307091226	600	50
6.886964772861419	0.050519931928308684	600	5
7.007361180273011	0.04829141319016856	650	10
7.104963329862109	0.05179436415016856	650	20
6.988522662320563	0.04094011286681401	650	2
7.078814584038249	0.04157497177675974	650	5
