
RE(%)	sigma_RE(%)	HV	Gain
10.776258341061611	0.11709635267135848	500	100
10.16605741724997	0.12155567864565049	500	50
9.010292219347297	0.14714987832324306	550	100
5.701669901282031	0.06343941167497322	550	20
9.09049940877253	0.08042673862251777	550	50
9.09848705782403	0.21861377133912865	600	100
8.75096440589994	0.10349164185726946	600	20
9.140144912897155	0.09374814239527292	600	50
9.046433567972262	0.23022496043838384	650	100
8.477926374296622	0.09592441281654925	650	10
8.748843718245146	0.09063302102797838	650	20
9.28593792757111	0.2893375028563292	650	50
8.320594943984332	0.07777325200791015	650	5
9.277139286215029	0.08710756330502835	700	100
8.958040131058363	0.1392649702189618	700	10
8.95442662380566	0.16449395599242106	700	20
6.167726401539863	0.20024477333112511	700	2
8.97761246810957	0.30425837427142716	700	50
8.490411352666689	0.05882573655652477	700	5
9.430517247504246	0.08346196818829889	750	100
9.365931147393349	0.2369682998645334	750	10
9.10117225420526	0.286379273877122	750	20
8.372957808884312	0.07433688737417288	750	2
9.049421630715809	0.07602150287759199	750	50
8.880883263523453	0.08858563100648138	750	5
9.681042530812693	0.1837704936405047	800	100
9.117125269954649	0.18960549240765082	800	10
8.828683518070719	0.3007329995120234	800	20
8.63779148761183	0.09147553433102339	800	2
9.516022636832307	0.08274296360951737	800	50
8.982790227226177	0.147147897131676	800	5
9.037753708818846	0.34937803059235567	850	10
9.301201780738877	0.08179205885212448	850	20
8.826096960913263	0.10498826989594537	850	2
9.546602677731507	0.12447224074008821	850	50
8.748437395740975	0.16601775379960612	850	5
8.950256909823597	0.07607495444870664	900	10
9.372391499602987	0.08264444848738009	900	20
9.142757090357332	0.14797838345947315	900	2
9.31053501076844	0.3836007850675322	900	5
9.344084653308968	0.08204319164150235	950	10
9.176013270888902	0.135398170402541	950	20
9.361450180091511	0.20076216355071594	950	2
8.701956419108988	0.3310151522623517	950	5
