
RE(%)	sigma_RE(%)	HV	Gain
10.776258341061611	0.11709635267135848	500	100
10.16605741724997	0.12155567864565049	500	50
9.010292219347297	0.14714987832324306	550	100
9.40316419276274	0.1394650120820696	550	100
5.701669901282031	0.06343941167497322	550	20
9.253138997850979	0.0946223536766436	550	50
9.09848705782403	0.21861377133912865	600	100
9.03367168351027	0.19419876462847	600	100
8.489505703690133	0.15736935479313932	600	10
8.772234569821315	0.07117157029395646	600	20
9.349273642304286	0.15164143747770686	600	50
9.645489372888104   0.30364221407888155	650	100
8.830802145320217	0.10255752143361371	650	10
9.049072780298442	0.09987901051426772	650	20
9.297714336717089	0.1652673499876095	650	50
8.320594943984332	0.07777325200791015	650	5
9.287924106733463	0.07994483666597847	700	100
8.89232172263908	0.10975920996203889	700	10
9.128008475183027	0.13540500265125183	700	20
6.167726401539863	0.20024477333112511	700	2
9.40177874731567	0.29866593227540056	700	50
8.639165368614256	0.09144915161638292	700	5
9.153078562928497	0.09613078147379159	750	100
9.090271253015707	0.10042247517446128	750	10
9.021225860019436	0.15972813044907472	750	20
8.955690188040236	0.08946210333270496	750	50
9.698994066413423	0.3074561376647841	800	100
9.030525533651971	0.26392166142732326	800	10
9.734930717580783	0.40098387869756974	800	20
9.410546587748449	0.08489355513342482	800	50
8.827645592768574	0.1593324942075907	800	5
9.143127038495116	0.24238384315246553	850	10
8.848558782078026	0.07035570719118034	850	20
9.340473999347559	0.16834617044300595	850	50
9.17220470860658	0.14033346876803082	850	5
9.068327313149414	0.08834737721587478	950	10
9.262014380134435	0.11015546467089672	950	20
43.51324064156118	0.4246692402711811	950	2
9.388913893645832	0.2205037003478196	950	5
