Descrizione Campione: misura_Co60_20min_solosorgente.Spe
Inizio misura: 15-01-25 16:09:28
RealTime: 15
LiveTime: 0
N eventi: 1013122
Calibrazione: E = 0 * C^2 + 1.98698 * C + -37.4062
Canale	Energia	Eventi
0	-37.4062	0
1	-35.4193	0
2	-33.4323	0
3	-31.4453	0
4	-29.4583	0
5	-27.4713	0
6	-25.4844	0
7	-23.4974	0
8	-21.5104	0
9	-19.5234	0
10	-17.5364	0
11	-15.5495	0
12	-13.5625	0
13	-11.5755	0
14	-9.58852	0
15	-7.60155	0
16	-5.61457	0
17	-3.62759	0
18	-1.64061	0
19	0.346371	0
20	2.33335	0
21	4.32033	0
22	6.30731	0
23	8.29429	0
24	10.2813	0
25	12.2682	0
26	14.2552	0
27	16.2422	0
28	18.2292	0
29	20.2162	0
30	22.2031	0
31	24.1901	0
32	26.1771	0
33	28.1641	0
34	30.1511	0
35	32.138	0
36	34.125	0
37	36.112	0
38	38.099	0
39	40.086	0
40	42.0729	0
41	44.0599	0
42	46.0469	0
43	48.0339	0
44	50.0208	0
45	52.0078	0
46	53.9948	0
47	55.9818	0
48	57.9688	0
49	59.9557	0
50	61.9427	0
51	63.9297	0
52	65.9167	0
53	67.9037	13
54	69.8906	1241
55	71.8776	1722
56	73.8646	1752
57	75.8516	1738
58	77.8386	1902
59	79.8255	1814
60	81.8125	1841
61	83.7995	1869
62	85.7865	1990
63	87.7734	1855
64	89.7604	1811
65	91.7474	1846
66	93.7344	2006
67	95.7214	1866
68	97.7083	1934
69	99.6953	1958
70	101.682	2125
71	103.669	1932
72	105.656	1884
73	107.643	2003
74	109.63	2104
75	111.617	1974
76	113.604	2105
77	115.591	2074
78	117.578	2061
79	119.565	2095
80	121.552	2029
81	123.539	2112
82	125.526	2161
83	127.513	2069
84	129.5	1973
85	131.487	2082
86	133.474	2069
87	135.461	2250
88	137.448	2193
89	139.435	2232
90	141.422	2266
91	143.409	2124
92	145.396	2048
93	147.383	2014
94	149.37	2307
95	151.357	2233
96	153.344	2303
97	155.331	2265
98	157.318	2140
99	159.305	2116
100	161.292	2184
101	163.279	2195
102	165.266	2135
103	167.253	2276
104	169.24	2231
105	171.227	2226
106	173.214	2135
