
RE	sigma_RE	<E>	sigma_<E>	time
0.06979505541012014	0.0003354630894561191	1447.6769446029693	0.26748921571469436	1000min_000
0.07044167945636993	0.00034645291466204854	1447.6606126867814	0.26942848304744665	1000min_001
0.06916455070483013	0.00033342600702177065	1448.7072591061083	0.2660816534194469	1000min_002
0.06931982789924104	0.0003420328257152098	1449.7781796118059	0.2681870404349906	1000min_003
0.06921246621153963	0.0003355228201441829	1449.9978885344044	0.26491175200755673	1000min_004
0.0696033180059924	0.0003503443615712451	1451.2372930812223	0.26872106617720426	1000min_005
0.06968603282292003	0.00033528956569399946	1452.6796051921165	0.26730080335056006	1000min_006
0.06901352392075948	0.00033273215023746757	1452.3527642479548	0.26701233121685525	1000min_007
0.06941441767047078	0.0003362523271564885	1453.526786380928	0.26827019708128547	1000min_008
0.06986649859146264	0.0003481745974160007	1452.9587685606066	0.27119639860957073	1000min_009
0.0689156588764965	0.00033126711373644013	1454.5091874350153	0.26643236326439906	1000min_010
0.06881781985722078	0.00032965514474338095	1453.9962035883295	0.2660570217243206	1000min_011
0.06962451396573674	0.00033800713136338017	1454.3160936308432	0.2680255864148739	1000min_012
0.069416493419332	0.00033988709204938274	1453.8581233985606	0.26772444815870744	1000min_013
0.06952109716554215	0.0003359765980372785	1455.335491603862	0.26777301628927674	1000min_014
0.07036826709838333	0.0003498514684230087	1455.2149482377818	0.27299489758757256	1000min_015
0.06993735614998438	0.0003372336644923894	1455.2017891697615	0.26894900889332474	1000min_016
0.06951644992133837	0.0003376142244469385	1455.6481327868562	0.26805147876584706	1000min_017
0.06860098306240213	0.0003322593013325656	1455.4414049170553	0.26646500837853687	1000min_018
0.0693673156381874	0.00033611505867538384	1455.278488250272	0.2679295083644115	1000min_019
0.06948859722346241	0.00032707469243143826	1455.0383595887536	0.26788461393171287	1000min_020
0.06960396352251787	0.00034134411642095414	1455.374533787782	0.27096425902528176	1000min_021
0.06909432328701363	0.0003420999027593311	1455.2902083934307	0.26797126004264527	1000min_022
0.06952149703009737	0.0003323831263706258	1455.0566729012091	0.26881118470078064	1000min_023
