
RE	sigma_RE	<E>	sigma_<E>	time
0.06867804318166022	0.0003022401157452757	1421.519786928561	0.23934890448273355	Na22_20min_000
0.06872588728766112	0.00029361640432431114	1421.3393409244618	0.23509688519687855	Na22_20min_001
0.06818483192995758	0.0002957584908235674	1421.8025076462288	0.23446640765974808	Na22_20min_002
0.06900633895786466	0.0002954970414197788	1422.639986068761	0.23772855878812374	Na22_20min_003
0.06903838471601545	0.0003004704624904832	1423.4217766915617	0.2367999282223975	Na22_20min_004
0.06867070120801995	0.00029200963287851964	1424.7936077264092	0.23611567670074193	Na22_20min_005
0.06909062877344403	0.0002945741806852661	1424.9263280477992	0.23857120006335814	Na22_20min_006
0.06862779902243861	0.00029134979360195194	1425.1005856576514	0.23593827305053053	Na22_20min_007
0.06862721625601848	0.000296768184974142	1425.7939611897878	0.2355334129569316	Na22_20min_008
0.06830154214536759	0.00029219007883338465	1426.2385118033485	0.2354501112635417	Na22_20min_009
0.06909984715752075	0.0003007964556781147	1426.409365721425	0.2393846287089201	Na22_20min_010
0.06823254545828095	0.00028601067621790357	1426.576086249141	0.23510084902742043	Na22_20min_011
0.06852487566169009	0.0002992141014718489	1426.7349030631458	0.23722735738905806	Na22_20min_012
0.06887622584588073	0.0002953783922618257	1427.2679352114365	0.2374252779399874	Na22_20min_013
0.06901367650245303	0.0003001890261083816	1427.3782828406263	0.23848353365251185	Na22_20min_014
0.0684770870880462	0.00029583909847365355	1427.3506536506093	0.236101043189858	Na22_20min_015
0.06844274478976911	0.0002875042462495558	1427.7972757933003	0.2355405207019123	Na22_20min_016
0.06817698702884359	0.00028564883230652193	1427.650780029275	0.23523252447254714	Na22_20min_017
0.06824145295820756	0.0003038221542850623	1426.842667873193	0.23647353055979628	Na22_20min_018
0.06942765434860713	0.00029884266681096106	1426.9656581686124	0.24029890539862853	Na22_20min_019
0.06821141327314917	0.00030487431135879206	1426.9222339529401	0.23547002886767973	Na22_20min_020
0.06885831130946371	0.00029212868560883355	1427.0501829114871	0.2357834106307879	Na22_20min_021
0.06880189773561927	0.0002986940422859418	1427.36229808301	0.23709189207816855	Na22_20min_022
0.06828747724703749	0.0002999040124956753	1427.083441864324	0.2361408864380735	Na22_20min_023
0.06869300681310285	0.00030339881146129895	1426.690833400724	0.23761628759060208	Na22_20min_024
0.06880700489469006	0.0003020009809981907	1426.7940595387238	0.23754812122255922	Na22_20min_025
0.06853271037983551	0.0002987314949931966	1426.6496678383976	0.2362655385152177	Na22_20min_026
0.06900487221291685	0.0002985346606290427	1426.9350635480794	0.23877751960486976	Na22_20min_027
0.0686768817430727	0.0002949527271642901	1426.8412038490112	0.2364449260270144	Na22_20min_028
0.06891466081876287	0.00030350254805271284	1426.3639380855536	0.23865816235223453	Na22_20min_029
0.06925194326253391	0.00030310486195364475	1426.65198172397	0.23940144847554504	Na22_20min_030
0.0687107048478626	0.0003068748600832309	1426.471434440514	0.24072012494902453	Na22_20min_031
0.06863892576083143	0.0003021586729950408	1426.141841902924	0.236590865183796	Na22_20min_032
0.06910231847941832	0.00029657515661861254	1426.0650625107462	0.2382649518516662	Na22_20min_033
0.0685890278586962	0.0002943105056409313	1425.8624809565765	0.23638813735409023	Na22_20min_034
0.0689167586722093	0.000294227836366542	1426.1547577784293	0.23790974369498707	Na22_20min_035
0.06877499741220859	0.0002944752501627498	1426.4510285348636	0.2362219935142406	Na22_20min_036
0.06811102258345471	0.0002978367010580963	1426.0654327886452	0.23683399635500163	Na22_20min_037
0.06948658732205777	0.0002992212037901191	1425.9405628161599	0.2376838143720997	Na22_20min_038
0.0692772839492445	0.00030191764936704534	1425.584635825032	0.23944395054093515	Na22_20min_039
0.0694521912010348	0.0002971363704824548	1425.9155381128887	0.2375488253400484	Na22_20min_040
0.06836867493129105	0.00029496482508067066	1425.983663751843	0.23594907341539417	Na22_20min_041
0.06869350936968607	0.00029541749928447484	1425.3816700056352	0.2377329646382149	Na22_20min_042
0.06901028026706817	0.00029372295940655784	1425.9693998478201	0.23705122208699633	Na22_20min_043
0.06925964018567547	0.00030531022533795775	1425.7089158481056	0.23905877128426642	Na22_20min_044
0.06873120373369751	0.00029821547887648827	1425.5456376429486	0.2373238581979672	Na22_20min_045
0.06914637371420598	0.00030371379772189743	1425.3773203840599	0.2397066056355949	Na22_20min_046
0.0690568967240688	0.000301483522944045	1425.992567024911	0.23769891804513552	Na22_20min_047
0.06848488144341469	0.0002976663597660125	1424.9731740505601	0.2350621038170869	Na22_20min_048
0.06841682243003017	0.0002948305305043073	1425.086431585711	0.2367389086348136	Na22_20min_049
0.06841093656623755	0.00029642056303397116	1425.6729181547362	0.23535123664920593	Na22_20min_050
0.06905000924087508	0.00029285664696683696	1425.407817157962	0.237766217583834	Na22_20min_051
0.0689255070317879	0.00029725834167789936	1424.8978937871173	0.23842857503684933	Na22_20min_052
0.06904777964434296	0.0002989198258864906	1425.0881401628499	0.23697961594391836	Na22_20min_053
0.06889597755996921	0.0002956894743077718	1425.0784691431393	0.2380221994210588	Na22_20min_054
0.06869744408901149	0.00030121580217041974	1424.9399946940537	0.23681138441776453	Na22_20min_055
0.0689402955185143	0.0003011454431593758	1424.7283196233827	0.23758465474149293	Na22_20min_056
0.06869210125476236	0.0002938483711349579	1424.9433717737877	0.23652017634272066	Na22_20min_057
0.06876960155120507	0.00029953867158208716	1424.8279766338733	0.2370175137928797	Na22_20min_058
0.06888755295325805	0.0002981628289639893	1424.830945116783	0.23708479618402584	Na22_20min_059
0.06830400780202699	0.0002904474118307094	1424.9966851290455	0.23532133367467895	Na22_20min_060
0.06939066389772504	0.0002947493997207208	1425.0044605970086	0.23760289665539805	Na22_20min_061
0.0685218894320961	0.0002933160184387695	1424.7834829832213	0.23490547000471118	Na22_20min_062
0.06902892949453276	0.00030113887677129717	1425.0210756425952	0.23842067800054292	Na22_20min_063
0.06909875608204145	0.0003051232612593464	1424.665299529772	0.23791227777096666	Na22_20min_064
0.06825016919087971	0.00029724068771898283	1424.6020608941383	0.23528541987040588	Na22_20min_065
0.06856474445288145	0.0003002457576688364	1424.599024492263	0.235819121974916	Na22_20min_066
0.06901204153720313	0.000302066459612531	1424.3325284695916	0.23743785912061355	Na22_20min_067
0.06870536410305299	0.00029440179324476806	1424.2724100485852	0.23690479185396768	Na22_20min_068
