
RE(%)	sigma_RE(%)	HV	Gain
9.085756746784957	0.23768359611180856	550	200
9.087839955331155	0.07808108872264886	550	500
9.512464572994972	0.41987197901610224	600	100
8.553827782630576	0.0974204707329129	600	10
9.274042597910297	0.09068752311597748	600	200
8.891360385033108	0.13452321119044602	600	20
9.091178275186653	0.0759727943097934	600	500
8.890122408446144	0.16522532961984243	600	50
8.971451393916043	0.07646392538180977	650	100
9.103999099658749	0.1332137093396162	650	10
9.281074848931086	0.07286097426361196	650	200
8.905472785695638	0.11761842955579349	650	20
9.337727637802375	0.3560980681260697	650	50
9.184073109067132	0.08072289568931565	700	100
9.245820693399759	0.11523614143942633	700	10
10.910977679328607	1.8595638530757834	700	200
8.772053932122976	0.15507309467245264	700	20
9.06009201250171	0.07574018237345548	700	50
8.818767205373684	0.20344798080984502	750	100
9.02371183831819	0.144562600065093	750	10
8.957213117368606   0.2658117223654124	750	20
8.997843718115723	0.08900801905144368	750	50
9.492481493925652	0.4028409529734532	800	10
9.130598783399707	0.07588012883727367	800	20
9.304494758569495	0.10098455024781929	800	50
8.959542622246294   0.65887117758606185	850	10
9.032493187834273	0.09037587484708823	850	20
9.056109559308407	0.07837087360522729	900	10
9.029040660186974	0.10399657222318762	900	20
9.058249789945702	0.0946546487502923	950	10
