Descrizione Campione: Am
Inizio misura: 07-02-25 18:04:35
RealTime: 1
LiveTime: 0
N eventi: 39751
Calibrazione: E = 3.22645e-06 * C^2 + 0.363344 * C + -11.0115
Canale	Energia	Eventi
0	-11.0115	0
1	-10.6482	0
2	-10.2848	0
3	-9.92146	0
4	-9.55809	0
5	-9.19472	0
6	-8.83134	0
7	-8.46796	0
8	-8.10456	0
9	-7.74117	0
10	-7.37776	0
11	-7.01435	0
12	-6.65093	0
13	-6.28751	0
14	-5.92408	0
15	-5.56064	0
16	-5.1972	0
17	-4.83375	7
18	-4.47029	3
19	-4.10683	1
20	-3.74336	7
21	-3.37988	8
22	-3.0164	7
23	-2.65291	18
24	-2.28942	15
25	-1.92591	16
26	-1.56241	6
27	-1.19889	4
28	-0.83537	10
29	-0.471842	12
30	-0.108308	-3
31	0.255232	12
32	0.618779	4
33	0.982332	5
34	1.34589	4
35	1.70946	5
36	2.07303	6
37	2.43661	7
38	2.8002	7
39	3.16379	11
40	3.52739	12
41	3.89099	7
42	4.2546	-4
43	4.61822	14
44	4.98184	11
45	5.34548	14
46	5.70911	22
47	6.07276	26
48	6.43641	44
49	6.80006	56
50	7.16373	60
51	7.5274	72
52	7.89107	104
53	8.25475	109
54	8.61844	116
55	8.98214	103
56	9.34584	85
57	9.70955	128
58	10.0733	119
59	10.437	149
60	10.8007	165
61	11.1644	231
62	11.5282	277
63	11.8919	359
64	12.2557	386
65	12.6194	384
66	12.9832	368
67	13.347	387
68	13.7108	323
69	14.0745	305
70	14.4383	293
71	14.8021	247
72	15.1659	231
73	15.5298	179
74	15.8936	214
75	16.2574	181
76	16.6212	223
77	16.9851	192
78	17.3489	155
79	17.7128	153
80	18.0766	118
81	18.4405	98
82	18.8043	99
83	19.1682	86
84	19.5321	82
85	19.896	85
86	20.2599	70
87	20.6238	85
88	20.9877	96
89	21.3516	125
90	21.7155	146
91	22.0795	194
92	22.4434	201
93	22.8073	178
94	23.1713	192
95	23.5352	193
96	23.8992	197
97	24.2632	169
98	24.6271	161
99	24.9911	159
100	25.3551	164
101	25.7191	179
102	26.0831	190
103	26.4471	199
104	26.8111	204
105	27.1751	256
106	27.5392	222
107	27.9032	247
108	28.2672	235
109	28.6313	221
110	28.9953	177
111	29.3594	188
112	29.7234	140
113	30.0875	112
114	30.4516	104
115	30.8157	58
116	31.1798	79
117	31.5438	44
118	31.9079	38
119	32.2721	21
120	32.6362	10
121	33.0003	16
122	33.3644	6
123	33.7286	20
124	34.0927	8
125	34.4568	1
126	34.821	4
127	35.1852	11
128	35.5493	4
129	35.9135	1
130	36.2777	2
131	36.6419	4
132	37.0061	-1
133	37.3703	9
134	37.7345	15
135	38.0987	4
136	38.4629	5
137	38.8271	6
138	39.1913	-6
139	39.5556	19
140	39.9198	6
141	40.2841	0
142	40.6483	11
143	41.0126	10
144	41.3769	14
145	41.7411	24
146	42.1054	21
147	42.4697	20
148	42.834	15
149	43.1983	17
150	43.5626	29
151	43.9269	5
152	44.2913	19
153	44.6556	16
154	45.0199	18
155	45.3843	18
156	45.7486	21
157	46.113	14
158	46.4773	13
159	46.8417	25
160	47.2061	40
161	47.5704	29
162	47.9348	49
163	48.2992	41
164	48.6636	50
165	49.028	34
166	49.3924	48
167	49.7568	65
168	50.1213	64
169	50.4857	76
170	50.8501	40
171	51.2146	44
172	51.579	62
173	51.9435	53
174	52.308	82
175	52.6724	107
176	53.0369	120
177	53.4014	118
178	53.7659	131
179	54.1304	139
180	54.4949	190
