Descrizione Campione: Cs
Inizio misura: 07-02-25 18:00:32
RealTime: 0
LiveTime: 0
N eventi: 21881
Calibrazione: E = 3.22645e-06 * C^2 + 0.363344 * C + -11.0115
Canale	Energia	Eventi
0	-11.0115	0
1	-10.6482	0
2	-10.2848	0
3	-9.92146	0
4	-9.55809	0
5	-9.19472	0
6	-8.83134	0
7	-8.46796	0
8	-8.10456	0
9	-7.74117	0
10	-7.37776	0
11	-7.01435	0
12	-6.65093	0
13	-6.28751	0
14	-5.92408	0
15	-5.56064	0
16	-5.1972	1
17	-4.83375	6
18	-4.47029	4
19	-4.10683	0
20	-3.74336	11
21	-3.37988	14
22	-3.0164	17
23	-2.65291	10
24	-2.28942	5
25	-1.92591	1
26	-1.56241	9
27	-1.19889	9
28	-0.83537	13
29	-0.471842	7
30	-0.108308	11
31	0.255232	19
32	0.618779	21
33	0.982332	15
34	1.34589	9
35	1.70946	15
36	2.07303	12
37	2.43661	14
38	2.8002	5
39	3.16379	8
40	3.52739	6
41	3.89099	6
42	4.2546	7
43	4.61822	8
44	4.98184	7
45	5.34548	7
46	5.70911	6
47	6.07276	15
48	6.43641	8
49	6.80006	7
50	7.16373	1
51	7.5274	10
52	7.89107	12
53	8.25475	7
54	8.61844	7
55	8.98214	4
56	9.34584	3
57	9.70955	18
58	10.0733	10
59	10.437	12
60	10.8007	0
61	11.1644	8
62	11.5282	9
63	11.8919	10
64	12.2557	14
65	12.6194	10
66	12.9832	8
67	13.347	13
68	13.7108	14
69	14.0745	5
70	14.4383	3
71	14.8021	3
72	15.1659	5
73	15.5298	12
74	15.8936	3
75	16.2574	5
76	16.6212	11
77	16.9851	10
78	17.3489	10
79	17.7128	17
80	18.0766	9
81	18.4405	1
82	18.8043	8
83	19.1682	13
84	19.5321	0
85	19.896	11
86	20.2599	6
87	20.6238	11
88	20.9877	4
89	21.3516	16
90	21.7155	11
91	22.0795	20
92	22.4434	24
93	22.8073	10
94	23.1713	20
95	23.5352	15
96	23.8992	13
97	24.2632	18
98	24.6271	20
99	24.9911	24
100	25.3551	27
101	25.7191	30
102	26.0831	60
103	26.4471	64
104	26.8111	88
105	27.1751	95
106	27.5392	94
107	27.9032	100
108	28.2672	126
109	28.6313	131
110	28.9953	154
111	29.3594	118
112	29.7234	115
113	30.0875	123
114	30.4516	93
115	30.8157	76
116	31.1798	83
117	31.5438	59
118	31.9079	51
119	32.2721	52
120	32.6362	34
121	33.0003	54
122	33.3644	28
123	33.7286	47
124	34.0927	46
125	34.4568	22
126	34.821	34
127	35.1852	29
128	35.5493	20
129	35.9135	28
130	36.2777	22
131	36.6419	18
132	37.0061	9
133	37.3703	20
134	37.7345	10
135	38.0987	10
136	38.4629	12
137	38.8271	9
138	39.1913	5
139	39.5556	8
140	39.9198	6
141	40.2841	16
142	40.6483	8
143	41.0126	15
144	41.3769	15
145	41.7411	6
146	42.1054	8
147	42.4697	17
148	42.834	6
149	43.1983	13
150	43.5626	17
151	43.9269	9
152	44.2913	12
153	44.6556	8
154	45.0199	10
155	45.3843	5
156	45.7486	2
157	46.113	2
158	46.4773	3
159	46.8417	7
160	47.2061	-3
161	47.5704	0
162	47.9348	3
163	48.2992	-2
164	48.6636	11
165	49.028	7
166	49.3924	0
167	49.7568	14
168	50.1213	18
169	50.4857	11
170	50.8501	7
171	51.2146	-3
172	51.579	-3
173	51.9435	13
174	52.308	-4
175	52.6724	14
176	53.0369	10
177	53.4014	5
178	53.7659	16
179	54.1304	10
180	54.4949	13
