Descrizione Campione: Co
Inizio misura: 07-02-25 17:54:55
RealTime: 2
LiveTime: 0
N eventi: 105233
Calibrazione: E = 3.22645e-06 * C^2 + 0.363344 * C + -11.0115
Canale	Energia	Eventi
0	-11.0115	0
1	-10.6482	0
2	-10.2848	0
3	-9.92146	0
4	-9.55809	0
5	-9.19472	0
6	-8.83134	0
7	-8.46796	0
8	-8.10456	0
9	-7.74117	0
10	-7.37776	0
11	-7.01435	0
12	-6.65093	0
13	-6.28751	0
14	-5.92408	0
15	-5.56064	0
16	-5.1972	2
17	-4.83375	2
18	-4.47029	9
19	-4.10683	5
20	-3.74336	9
21	-3.37988	12
22	-3.0164	7
23	-2.65291	16
24	-2.28942	13
25	-1.92591	12
26	-1.56241	13
27	-1.19889	9
28	-0.83537	17
29	-0.471842	14
30	-0.108308	9
31	0.255232	11
32	0.618779	10
33	0.982332	7
34	1.34589	5
35	1.70946	14
36	2.07303	7
37	2.43661	7
38	2.8002	6
39	3.16379	13
40	3.52739	13
41	3.89099	8
42	4.2546	1
43	4.61822	10
44	4.98184	8
45	5.34548	18
46	5.70911	16
47	6.07276	20
48	6.43641	12
49	6.80006	22
50	7.16373	27
51	7.5274	27
52	7.89107	60
53	8.25475	52
54	8.61844	67
55	8.98214	54
56	9.34584	43
57	9.70955	57
58	10.0733	53
59	10.437	37
60	10.8007	24
61	11.1644	32
62	11.5282	18
63	11.8919	9
64	12.2557	21
65	12.6194	16
66	12.9832	11
67	13.347	21
68	13.7108	7
69	14.0745	9
70	14.4383	2
71	14.8021	9
72	15.1659	9
73	15.5298	4
74	15.8936	12
75	16.2574	13
76	16.6212	12
77	16.9851	11
78	17.3489	25
79	17.7128	21
80	18.0766	16
81	18.4405	14
82	18.8043	11
83	19.1682	14
84	19.5321	16
85	19.896	17
86	20.2599	17
87	20.6238	20
88	20.9877	12
89	21.3516	21
90	21.7155	15
91	22.0795	10
92	22.4434	23
93	22.8073	9
94	23.1713	32
95	23.5352	11
96	23.8992	6
97	24.2632	12
98	24.6271	14
99	24.9911	17
100	25.3551	12
101	25.7191	14
102	26.0831	20
103	26.4471	16
104	26.8111	22
105	27.1751	9
106	27.5392	18
107	27.9032	17
108	28.2672	16
109	28.6313	17
110	28.9953	24
111	29.3594	17
112	29.7234	20
113	30.0875	25
114	30.4516	12
115	30.8157	11
116	31.1798	29
117	31.5438	30
118	31.9079	19
119	32.2721	19
120	32.6362	27
121	33.0003	34
122	33.3644	16
123	33.7286	34
124	34.0927	19
125	34.4568	25
126	34.821	28
127	35.1852	13
128	35.5493	21
129	35.9135	15
130	36.2777	13
131	36.6419	23
132	37.0061	20
133	37.3703	15
134	37.7345	27
135	38.0987	24
136	38.4629	22
137	38.8271	27
138	39.1913	5
139	39.5556	21
140	39.9198	15
141	40.2841	20
142	40.6483	15
143	41.0126	12
144	41.3769	22
145	41.7411	17
146	42.1054	6
147	42.4697	19
148	42.834	13
149	43.1983	5
150	43.5626	22
151	43.9269	-4
152	44.2913	6
153	44.6556	8
154	45.0199	13
155	45.3843	11
156	45.7486	13
157	46.113	4
158	46.4773	18
159	46.8417	12
160	47.2061	11
161	47.5704	10
162	47.9348	17
163	48.2992	9
164	48.6636	23
165	49.028	12
166	49.3924	14
167	49.7568	25
168	50.1213	21
169	50.4857	13
170	50.8501	12
171	51.2146	9
172	51.579	7
173	51.9435	15
174	52.308	13
175	52.6724	24
176	53.0369	21
177	53.4014	16
178	53.7659	13
179	54.1304	19
180	54.4949	24
181	54.8594	11
