Descrizione Campione: Ra-F_600s.Spe
Inizio misura: 07-02-25 17:38:49
RealTime: 8
LiveTime: 0
N eventi: 303327
Calibrazione: E = 3.22645e-06 * C^2 + 0.363344 * C + -11.0115
Canale	Energia	Eventi
0	-11.0115	0
1	-10.6482	0
2	-10.2848	0
3	-9.92146	0
4	-9.55809	0
5	-9.19472	0
6	-8.83134	0
7	-8.46796	0
8	-8.10456	0
9	-7.74117	0
10	-7.37776	0
11	-7.01435	0
12	-6.65093	0
13	-6.28751	0
14	-5.92408	0
15	-5.56064	0
16	-5.1972	5
17	-4.83375	70
18	-4.47029	102
19	-4.10683	94
20	-3.74336	111
21	-3.37988	112
22	-3.0164	95
23	-2.65291	137
24	-2.28942	149
25	-1.92591	121
26	-1.56241	125
27	-1.19889	116
28	-0.83537	132
29	-0.471842	132
30	-0.108308	99
31	0.255232	136
32	0.618779	107
33	0.982332	111
34	1.34589	119
35	1.70946	132
36	2.07303	114
37	2.43661	130
38	2.8002	131
39	3.16379	133
40	3.52739	125
41	3.89099	130
42	4.2546	113
43	4.61822	120
44	4.98184	131
45	5.34548	126
46	5.70911	137
47	6.07276	154
48	6.43641	112
49	6.80006	99
50	7.16373	114
51	7.5274	157
52	7.89107	117
53	8.25475	129
54	8.61844	122
55	8.98214	127
56	9.34584	119
57	9.70955	155
58	10.0733	138
59	10.437	164
60	10.8007	143
61	11.1644	134
62	11.5282	163
63	11.8919	174
64	12.2557	142
65	12.6194	179
66	12.9832	206
67	13.347	184
68	13.7108	173
69	14.0745	180
70	14.4383	143
71	14.8021	228
72	15.1659	236
73	15.5298	283
74	15.8936	239
75	16.2574	305
76	16.6212	369
77	16.9851	424
78	17.3489	474
79	17.7128	496
80	18.0766	478
81	18.4405	437
82	18.8043	467
83	19.1682	417
84	19.5321	372
85	19.896	413
86	20.2599	399
87	20.6238	372
88	20.9877	305
89	21.3516	346
90	21.7155	251
91	22.0795	267
92	22.4434	295
93	22.8073	253
94	23.1713	263
95	23.5352	156
96	23.8992	148
97	24.2632	161
98	24.6271	174
99	24.9911	191
100	25.3551	158
101	25.7191	151
102	26.0831	132
103	26.4471	172
104	26.8111	194
105	27.1751	153
106	27.5392	162
107	27.9032	168
108	28.2672	172
109	28.6313	161
110	28.9953	133
111	29.3594	144
112	29.7234	124
113	30.0875	143
114	30.4516	157
115	30.8157	155
116	31.1798	183
117	31.5438	150
118	31.9079	161
119	32.2721	188
120	32.6362	173
121	33.0003	159
122	33.3644	114
123	33.7286	172
124	34.0927	115
125	34.4568	124
126	34.821	191
127	35.1852	160
128	35.5493	149
129	35.9135	131
130	36.2777	142
131	36.6419	174
132	37.0061	154
133	37.3703	150
134	37.7345	170
135	38.0987	169
136	38.4629	201
137	38.8271	187
138	39.1913	170
139	39.5556	231
140	39.9198	171
141	40.2841	145
142	40.6483	195
143	41.0126	182
144	41.3769	244
145	41.7411	255
146	42.1054	219
147	42.4697	269
148	42.834	243
149	43.1983	273
150	43.5626	317
151	43.9269	221
152	44.2913	308
153	44.6556	305
154	45.0199	314
155	45.3843	348
156	45.7486	341
157	46.113	304
158	46.4773	350
159	46.8417	333
160	47.2061	307
161	47.5704	268
162	47.9348	305
163	48.2992	259
164	48.6636	255
165	49.028	254
166	49.3924	206
167	49.7568	278
168	50.1213	272
169	50.4857	201
170	50.8501	178
171	51.2146	208
172	51.579	185
173	51.9435	187
174	52.308	200
175	52.6724	215
176	53.0369	224
177	53.4014	223
178	53.7659	267
179	54.1304	231
180	54.4949	230
