Descrizione Campione: Ti
Inizio misura: 07-02-25 17:58:04
RealTime: 7
LiveTime: 0
N eventi: 380911
Calibrazione: E = 3.22645e-06 * C^2 + 0.363344 * C + -11.0115
Canale	Energia	Eventi
0	-11.0115	0
1	-10.6482	0
2	-10.2848	0
3	-9.92146	0
4	-9.55809	0
5	-9.19472	0
6	-8.83134	0
7	-8.46796	0
8	-8.10456	0
9	-7.74117	0
10	-7.37776	0
11	-7.01435	0
12	-6.65093	0
13	-6.28751	0
14	-5.92408	0
15	-5.56064	0
16	-5.1972	11
17	-4.83375	50
18	-4.47029	66
19	-4.10683	65
20	-3.74336	65
21	-3.37988	73
22	-3.0164	64
23	-2.65291	74
24	-2.28942	77
25	-1.92591	87
26	-1.56241	77
27	-1.19889	86
28	-0.83537	76
29	-0.471842	98
30	-0.108308	105
31	0.255232	109
32	0.618779	103
33	0.982332	90
34	1.34589	89
35	1.70946	97
36	2.07303	81
37	2.43661	101
38	2.8002	85
39	3.16379	92
40	3.52739	116
41	3.89099	128
42	4.2546	74
43	4.61822	99
44	4.98184	96
45	5.34548	104
46	5.70911	100
47	6.07276	94
48	6.43641	104
49	6.80006	98
50	7.16373	108
51	7.5274	95
52	7.89107	97
53	8.25475	110
54	8.61844	100
55	8.98214	113
56	9.34584	98
57	9.70955	112
58	10.0733	109
59	10.437	112
60	10.8007	92
61	11.1644	115
62	11.5282	107
63	11.8919	111
64	12.2557	122
65	12.6194	123
66	12.9832	107
67	13.347	94
68	13.7108	87
69	14.0745	101
70	14.4383	93
71	14.8021	106
72	15.1659	120
73	15.5298	132
74	15.8936	91
75	16.2574	108
76	16.6212	114
77	16.9851	119
78	17.3489	104
79	17.7128	134
80	18.0766	129
81	18.4405	141
82	18.8043	117
83	19.1682	149
84	19.5321	136
85	19.896	141
86	20.2599	150
87	20.6238	132
88	20.9877	126
89	21.3516	149
90	21.7155	152
91	22.0795	153
92	22.4434	156
93	22.8073	144
94	23.1713	169
95	23.5352	148
96	23.8992	158
97	24.2632	172
98	24.6271	181
99	24.9911	142
100	25.3551	157
101	25.7191	157
102	26.0831	143
103	26.4471	172
104	26.8111	173
105	27.1751	184
106	27.5392	169
107	27.9032	169
108	28.2672	197
109	28.6313	189
110	28.9953	178
111	29.3594	216
112	29.7234	200
113	30.0875	213
114	30.4516	237
115	30.8157	276
116	31.1798	264
117	31.5438	313
118	31.9079	266
119	32.2721	285
120	32.6362	307
121	33.0003	312
122	33.3644	353
123	33.7286	368
124	34.0927	394
125	34.4568	407
126	34.821	432
127	35.1852	437
128	35.5493	472
129	35.9135	513
130	36.2777	493
131	36.6419	503
132	37.0061	512
133	37.3703	500
134	37.7345	486
135	38.0987	464
136	38.4629	439
137	38.8271	413
138	39.1913	360
139	39.5556	349
140	39.9198	282
141	40.2841	240
142	40.6483	277
143	41.0126	240
144	41.3769	262
145	41.7411	251
146	42.1054	246
147	42.4697	227
148	42.834	261
149	43.1983	268
150	43.5626	274
151	43.9269	299
152	44.2913	271
153	44.6556	305
154	45.0199	348
155	45.3843	354
156	45.7486	389
157	46.113	356
158	46.4773	389
159	46.8417	436
160	47.2061	402
161	47.5704	452
162	47.9348	443
163	48.2992	459
164	48.6636	480
165	49.028	451
166	49.3924	456
167	49.7568	395
168	50.1213	414
169	50.4857	369
170	50.8501	385
171	51.2146	346
172	51.579	321
173	51.9435	339
174	52.308	353
175	52.6724	402
176	53.0369	373
177	53.4014	368
178	53.7659	412
179	54.1304	405
180	54.4949	410
181	54.8594	407
