ENERGIA,BR,ELEMENTO,Canale associato,err canale
"46,5",,Pb - 210,"155,88","7,967918669"
"59,54","35,94",Am-241,"197,64","6,227532204"
"67,86",93,Ti - 44,"222,54","5,493437938"
"78,32","96,8",Ti - 44,"254,4","5,575945747"
"146,92","0,092",Ti - 44,"451,18","9,110921333"
"122,06","85,6",Co - 57,"375,3","6,465334242"
"186,21","3,57",Ra - 226,"556,83","11,81141776"
"241,9","7,46",Pb - 210,"706,88","11,34198096"
"295,1","12,9",Pb - 210,"856,78","10,548137"
"351,9","37,1",Pb - 210,"1016,62","10,29740565"
511,100?,Ti - 44,"1467,69","8,879989755"
"609,3","46,1",Bi - 214,"1736,65","16,86144185"
"661,65","85,1",Cs - 137,"1879,85","27,16758648"
