RE	sigma_RE	<E>	sigma_<E>	time
0.06785056490061114	0.0004372164838521633	1492.804471882856	0.33819513507477483	1h_000
0.06829607882635094	0.00041300786580482834	1492.4213256651062	0.33489260035820845	1h_001
0.0691071063230953	0.00042743796223117594	1492.8519092376373	0.3420614345658352	1h_002
0.06811731548831235	0.00043335224855259427	1492.9898435138152	0.3363197147470848	1h_003
0.06805218262188181	0.0004100471191514114	1492.7823251212264	0.3370361710673581	1h_004
0.06856769793109876	0.00042931245094383533	1492.2896372400658	0.33974478559930466	1h_005
0.06758156179826032	0.00041288848332060737	1493.3978046643645	0.33743433984439153	1h_006
0.06722708222113746	0.00041498242175477926	1493.6044380645762	0.336776096762672	1h_007
0.06785133613241572	0.00040932263022031826	1492.996007124386	0.33549091058829283	1h_008
0.06759278113091947	0.0004176239470067768	1492.9820542336886	0.33595613221915094	1h_009
0.06736006268395417	0.00041118136441546963	1493.0803336304239	0.33166872343851134	1h_010
0.06771716404396662	0.00041372430999925085	1492.8941478661795	0.33556982545280534	1h_011
0.06924884670368568	0.00018134262188583712	1492.4173600640797	0.14837531006192772	2h_000
0.06918477535979371	0.00017985606763320936	1492.09607317699	0.1482244713186058	2h_001
0.0689904151056168	0.00017828793662001997	1491.8053017542732	0.14756891285684906	2h_002
0.06910079677189336	0.0001782242395499356	1492.1130632215868	0.1473373501948986	2h_003
0.06901682354661529	0.0001819594631923494	1492.0191803698128	0.14734062003695	2h_004
0.06915932835620159	0.00017849976371739015	1492.1848010529598	0.14765704911079972	2h_005
0.069311575458696	0.00017776318842977658	1492.0032507989647	0.14803636761127548	2h_006
0.06933899179796385	0.00017502693750268266	1491.7924000757073	0.1474326637287021	2h_007
0.06935790169127273	0.00017907942463151348	1491.4086697276812	0.14783578333700173	2h_008
0.06914622326984221	0.0001812290300500128	1491.7393950121864	0.1478676448671181	2h_009
0.06917956521367748	0.00017645229264218803	1491.4104725308132	0.1477940911584058	2h_010
0.06925257458454802	0.00017961476098202618	1491.788461956004	0.14857039309694464	2h_011
0.06924960532018272	0.00018039450069010074	1491.2674868881072	0.14791022093821823	2h_012
0.06898067810350855	0.00017736674343840305	1491.109622871114	0.1476305465262125	2h_013
0.06946548317474407	0.0001779671628345852	1490.8402776835644	0.14806278081202268	2h_014
0.06922358789873034	0.00017980071298647705	1490.2261049846088	0.14785646246192974	2h_015
0.06890519264778978	0.00017589538390515405	1489.6611615416584	0.1469815725866819	2h_016
0.06888179515792824	0.0001773734816767177	1489.206054140013	0.14701667585186484	2h_017
0.06929036887130086	0.00017684444960209118	1488.9866839030065	0.14693853370488563	2h_018
0.06901841234508366	0.00018068629528129995	1489.0963097069439	0.14722627852512596	2h_019
0.0690958601592768	0.0001779963125450732	1489.0627572173928	0.14679333337798445	2h_020
0.06933759815634347	0.0001810953981390471	1489.0172566029134	0.14774534799410774	2h_021
0.0691369495791445	0.00017785469187061925	1489.304941237483	0.14695756515804465	2h_022
0.06956210100040142	0.00018183216749881434	1489.215879811339	0.14888614259539226	2h_023
0.06941761544393119	0.00011890619598904908	1489.5926162952428	0.09952333075803105	3h_000
0.06926956176820132	0.00012030618708247748	1489.5518122147532	0.09952477028555598	3h_001
0.0691292367070827	0.00012111607641277861	1489.8869055941445	0.09942285916451296	3h_002
0.06946314241749439	0.0001223284646390285	1490.2621560031116	0.10025164750426528	3h_003
0.0690813613991878	0.00012045114520992044	1490.282052184468	0.09938650698502749	3h_004
0.06919723794611449	0.00012229302155608004	1490.093126591821	0.09968940772204342	3h_005
0.06936861680149671	0.00012195280018887538	1490.1478762283011	0.0997963170777102	3h_006
0.0690682666457005	0.00012017464705328338	1490.0845161821123	0.09918965620885709	3h_007
0.06908443688880393	0.00011996311839202871	1490.5080177624673	0.09960848781415771	3h_008
0.06922522271465874	0.00012171106613356844	1490.4835358791586	0.09970261357743511	3h_009
0.06928330630459084	0.00012174435724719475	1490.221184856949	0.09958503171578882	3h_010
0.06931749023210018	0.0001228646632986924	1490.553866964514	0.09973576867348595	3h_011
0.0691729483240857	0.00012054631114189074	1490.9642306986198	0.09937144291313077	3h_012
0.06919767359277153	0.00012257661620170612	1492.0217722210557	0.1001398479279277	3h_013
0.06910317742644516	0.00012032191426817476	1492.055785761803	0.09957710781117214	3h_014
0.06950190525180923	0.00012138633736047072	1491.7554519576638	0.10004248815468109	3h_015
0.06938734936681544	0.00012254154131920215	1490.9300551892989	0.10005367131485879	3h_016
0.06926502579019561	0.00011983839341010232	1489.743403461564	0.09934461073554018	3h_017
0.06945544276647286	0.00012173901154174897	1487.7503496900954	0.09961320039844915	3h_018
0.06923104058197575	0.00012291106291406406	1485.5915189292214	0.09948048380910496	3h_019
0.06928325802947395	0.00011912288427460996	1484.082142364145	0.09890921840863642	3h_020
0.06916795015273068	0.00012059941282097032	1483.5823873868203	0.09900121202958373	3h_021
0.06937945969773196	0.0001229498957670899	1483.5002841297044	0.09952439735609844	3h_022
0.06933748762882534	0.0001201979499358975	1483.6688145203993	0.09907832215214216	3h_023
0.06909974926308615	0.00012125019505827446	1484.2813268429418	0.09899933572237168	3h_024
0.06919567919264277	0.00012005048737543129	1484.1671582836893	0.09887089840866813	3h_025
0.06926648391132639	0.00012323248950697855	1484.06293982557	0.09933407842520559	3h_026
0.06929533122491421	0.00012238717071209394	1484.4136090099191	0.09962215039620799	3h_027
0.0693189384537211	0.00012251817535231324	1484.1136222019247	0.09958591482657078	3h_028
0.06932723822192609	0.0001241224183200872	1482.7481243084528	0.0994805421376629	3h_029
0.069225394506721	0.00011929080897752568	1480.9724495235673	0.09893481246078724	3h_030
0.06919344109426967	0.00012006684966698998	1479.6732501300107	0.09853015275135714	3h_031
