Data;Ora;Temperatura_Celsius;Umidità_relativa(%)
﻿20-12-2024;00:00;19.6;35
﻿20-12-2024;00:01;19.6;35
﻿20-12-2024;00:02;19.6;35
﻿20-12-2024;00:03;19.6;35
﻿20-12-2024;00:04;19.6;35
﻿20-12-2024;00:05;19.5;35
﻿20-12-2024;00:06;19.5;35
﻿20-12-2024;00:07;19.5;35
﻿20-12-2024;00:08;19.5;35
﻿20-12-2024;00:09;19.5;35
﻿20-12-2024;00:10;19.5;35
﻿20-12-2024;00:11;19.5;35
﻿20-12-2024;00:12;19.5;35
﻿20-12-2024;00:13;19.5;35
﻿20-12-2024;00:14;19.5;35
﻿20-12-2024;00:15;19.5;35
﻿20-12-2024;00:16;19.5;35
﻿20-12-2024;00:17;19.5;35
﻿20-12-2024;00:18;19.5;35
﻿20-12-2024;00:19;19.5;35
﻿20-12-2024;00:20;19.5;35
﻿20-12-2024;00:21;19.5;35
﻿20-12-2024;00:22;19.5;35
﻿20-12-2024;00:23;19.5;35
﻿20-12-2024;00:24;19.5;35
﻿20-12-2024;00:25;19.5;35
﻿20-12-2024;00:26;19.5;35
﻿20-12-2024;00:27;19.5;35
﻿20-12-2024;00:28;19.5;35
﻿20-12-2024;00:29;19.5;35
﻿20-12-2024;00:30;19.5;35
﻿20-12-2024;00:31;19.5;35
﻿20-12-2024;00:32;19.6;35
﻿20-12-2024;00:33;19.6;35
﻿20-12-2024;00:34;19.6;35
﻿20-12-2024;00:35;19.6;35
﻿20-12-2024;00:36;19.5;35
﻿20-12-2024;00:37;19.6;35
﻿20-12-2024;00:38;19.5;35
﻿20-12-2024;00:39;19.6;35
﻿20-12-2024;00:40;19.6;35
﻿20-12-2024;00:41;19.5;35
﻿20-12-2024;00:42;19.6;35
﻿20-12-2024;00:43;19.6;35
﻿20-12-2024;00:44;19.6;35
﻿20-12-2024;00:45;19.6;35
﻿20-12-2024;00:46;19.6;35
﻿20-12-2024;00:47;19.6;35
﻿20-12-2024;00:48;19.6;35
﻿20-12-2024;00:49;19.6;35
﻿20-12-2024;00:50;19.6;35
﻿20-12-2024;00:51;19.6;35
﻿20-12-2024;00:52;19.6;35
﻿20-12-2024;00:53;19.6;35
﻿20-12-2024;00:54;19.5;35
﻿20-12-2024;00:55;19.5;35
﻿20-12-2024;00:56;19.5;35
﻿20-12-2024;00:57;19.5;35
﻿20-12-2024;00:58;19.5;35
﻿20-12-2024;00:59;19.5;35
﻿20-12-2024;01:00;19.5;35
﻿20-12-2024;01:01;19.5;35
﻿20-12-2024;01:02;19.5;35
﻿20-12-2024;01:03;19.5;35
﻿20-12-2024;01:04;19.5;35
﻿20-12-2024;01:05;19.5;35
﻿20-12-2024;01:06;19.5;35
﻿20-12-2024;01:07;19.5;36
﻿20-12-2024;01:08;19.5;35
﻿20-12-2024;01:09;19.5;35
﻿20-12-2024;01:10;19.5;35
﻿20-12-2024;01:11;19.5;35
﻿20-12-2024;01:12;19.5;35
﻿20-12-2024;01:13;19.5;35
﻿20-12-2024;01:14;19.5;35
﻿20-12-2024;01:15;19.5;35
﻿20-12-2024;01:16;19.5;35
﻿20-12-2024;01:17;19.5;35
﻿20-12-2024;01:18;19.5;35
﻿20-12-2024;01:19;19.5;35
﻿20-12-2024;01:20;19.5;35
﻿20-12-2024;01:21;19.5;35
﻿20-12-2024;01:22;19.5;35
﻿20-12-2024;01:23;19.5;35
﻿20-12-2024;01:24;19.5;35
﻿20-12-2024;01:25;19.5;35
﻿20-12-2024;01:26;19.5;35
﻿20-12-2024;01:27;19.5;35
﻿20-12-2024;01:28;19.5;35
﻿20-12-2024;01:29;19.5;35
﻿20-12-2024;01:30;19.5;35
﻿20-12-2024;01:31;19.5;35
﻿20-12-2024;01:32;19.5;35
﻿20-12-2024;01:33;19.5;35
﻿20-12-2024;01:34;19.5;35
﻿20-12-2024;01:35;19.5;35
﻿20-12-2024;01:36;19.6;35
﻿20-12-2024;01:37;19.5;35
﻿20-12-2024;01:38;19.5;35
﻿20-12-2024;01:39;19.5;35
﻿20-12-2024;01:40;19.5;35
﻿20-12-2024;01:41;19.5;35
﻿20-12-2024;01:42;19.5;35
﻿20-12-2024;01:43;19.5;35
﻿20-12-2024;01:44;19.5;35
﻿20-12-2024;01:45;19.5;35
﻿20-12-2024;01:46;19.5;35
﻿20-12-2024;01:47;19.5;35
﻿20-12-2024;01:48;19.5;35
﻿20-12-2024;01:49;19.5;35
﻿20-12-2024;01:50;19.5;35
﻿20-12-2024;01:51;19.5;35
﻿20-12-2024;01:52;19.5;35
﻿20-12-2024;01:53;19.5;35
﻿20-12-2024;01:54;19.5;35
﻿20-12-2024;01:55;19.5;35
﻿20-12-2024;01:56;19.5;35
﻿20-12-2024;01:57;19.5;35
﻿20-12-2024;01:58;19.5;35
﻿20-12-2024;01:59;19.5;35
﻿20-12-2024;02:00;19.5;35
﻿20-12-2024;02:01;19.5;35
﻿20-12-2024;02:02;19.5;35
﻿20-12-2024;02:03;19.5;35
﻿20-12-2024;02:04;19.5;35
﻿20-12-2024;02:05;19.5;35
﻿20-12-2024;02:06;19.5;35
﻿20-12-2024;02:07;19.5;35
﻿20-12-2024;02:08;19.5;35
﻿20-12-2024;02:09;19.5;35
﻿20-12-2024;02:10;19.5;35
﻿20-12-2024;02:11;19.5;35
﻿20-12-2024;02:12;19.5;35
﻿20-12-2024;02:13;19.5;35
﻿20-12-2024;02:14;19.5;35
﻿20-12-2024;02:15;19.5;35
﻿20-12-2024;02:16;19.5;35
﻿20-12-2024;02:17;19.5;35
﻿20-12-2024;02:18;19.5;35
