Reflection

Angle Mean Median IQR
40 0.027140322127641198 0.02735079041747454 0.001476859791490797
50 0.026065163356670744 0.025819652026622272 0.001826765948870511
60 0.026960530665026374 0.027070509615309143 0.00174062856617508
70 0.02639140464401186 0.026302777950659273 0.0011169944695525735
80 0.026551524927514687 0.026575610155933342 0.0004845506083612887
90 0.02665111278844251 0.02669072072779364 0.0005718801675267428
100 0.02640546592564027 0.026320830435048827 0.0010008257127981542
110 0.026714082672090217 0.02677502814759899 0.0011133157697127312
120 0.02645819166537168 0.026402573094602606 0.0009024127227756085

Trasmission

Angle Mean Median IQR
35 0.008966149054802733 0.008975131499800289 0.00016502276647343585
40 0.027140322127641198 0.02735079041747454 0.001476859791490797
50 0.008849189546118663 0.008803928062804084 0.00036314202801053345
60 0.026960530665026374 0.027070509615309143 0.00174062856617508
