Descrizione Campione: TOT
Inizio misura: 05-03-25 15:51:20
RealTime: 560561
LiveTime: 557046
N eventi: 111382
Calibrazione: E = 0 * C^2 + 1 * C + 0
Canale	Energia	Eventi
0	0	0
1	1	0
2	2	0
3	3	0
4	4	0
5	5	0
6	6	0
7	7	0
8	8	0
9	9	0
10	10	0
11	11	1
12	12	2
13	13	0
14	14	0
15	15	0
16	16	2
17	17	7
18	18	9
19	19	8
20	20	7
21	21	6
22	22	12
23	23	9
24	24	6
25	25	10
26	26	12
27	27	12
28	28	7
29	29	11
30	30	6
31	31	11
32	32	10
33	33	11
34	34	8
35	35	8
36	36	14
37	37	13
38	38	9
39	39	5
40	40	5
41	41	7
42	42	10
43	43	9
44	44	6
45	45	11
46	46	6
47	47	13
48	48	8
49	49	10
50	50	12
51	51	10
52	52	7
53	53	15
54	54	13
55	55	16
56	56	19
57	57	9
58	58	18
59	59	21
60	60	20
61	61	16
62	62	12
63	63	22
64	64	16
65	65	15
66	66	30
67	67	26
68	68	26
69	69	20
70	70	19
71	71	31
72	72	37
73	73	30
74	74	36
75	75	32
76	76	39
77	77	29
78	78	38
79	79	52
80	80	38
81	81	42
82	82	36
83	83	29
84	84	41
85	85	29
86	86	31
87	87	47
88	88	39
89	89	32
90	90	36
91	91	44
92	92	54
93	93	40
94	94	46
95	95	44
96	96	38
97	97	50
98	98	40
99	99	37
100	100	41
101	101	54
102	102	35
103	103	45
104	104	35
105	105	36
106	106	37
107	107	54
108	108	40
109	109	47
110	110	43
111	111	49
112	112	30
113	113	50
114	114	45
115	115	38
116	116	45
117	117	42
118	118	39
119	119	41
120	120	53
121	121	42
122	122	44
123	123	51
124	124	35
125	125	50
126	126	35
127	127	64
128	128	45
129	129	53
130	130	57
131	131	35
132	132	48
133	133	34
134	134	41
135	135	41
136	136	58
137	137	59
138	138	46
139	139	54
140	140	55
141	141	40
142	142	53
143	143	56
144	144	49
145	145	66
146	146	47
147	147	57
148	148	54
149	149	47
150	150	65
151	151	60
152	152	44
153	153	57
154	154	50
155	155	63
156	156	55
157	157	54
158	158	57
159	159	55
160	160	58
161	161	59
162	162	64
163	163	48
164	164	63
165	165	46
166	166	52
167	167	40
168	168	65
169	169	39
170	170	54
171	171	46
172	172	38
173	173	48
174	174	62
175	175	58
176	176	58
177	177	47
178	178	51
179	179	55
180	180	42
181	181	53
182	182	42
183	183	67
184	184	77
185	185	53
186	186	48
187	187	53
188	188	55
189	189	54
190	190	72
191	191	58
192	192	53
193	193	55
194	194	75
195	195	39
196	196	57
197	197	74
198	198	68
199	199	55
200	200	61
201	201	59
202	202	49
203	203	60
204	204	67
205	205	70
206	206	65
207	207	74
208	208	67
209	209	69
210	210	59
211	211	59
212	212	71
213	213	53
214	214	60
215	215	69
216	216	58
217	217	62
218	218	56
219	219	64
220	220	74
221	221	66
222	222	51
223	223	67
224	224	85
225	225	63
226	226	87
227	227	82
228	228	95
229	229	86
230	230	94
231	231	92
232	232	105
233	233	87
234	234	98
235	235	106
236	236	129
237	237	125
238	238	135
239	239	149
240	240	152
241	241	158
242	242	128
243	243	161
244	244	154
245	245	162
246	246	187
247	247	161
248	248	160
249	249	173
250	250	172
251	251	155
252	252	159
253	253	119
254	254	117
255	255	141
256	256	139
257	257	115
258	258	107
259	259	115
260	260	107
261	261	78
262	262	105
263	263	81
264	264	94
265	265	101
266	266	98
267	267	88
268	268	99
269	269	83
270	270	71
271	271	107
272	272	91
273	273	88
274	274	101
275	275	88
276	276	120
277	277	112
278	278	120
279	279	104
280	280	76
281	281	89
282	282	111
283	283	101
284	284	94
285	285	109
286	286	97
287	287	101
288	288	74
289	289	90
290	290	95
291	291	88
292	292	84
293	293	87
294	294	81
295	295	85
296	296	93
297	297	80
298	298	76
299	299	65
300	300	81
301	301	60
302	302	95
303	303	86
304	304	82
305	305	80
306	306	76
307	307	73
308	308	75
309	309	76
310	310	82
311	311	85
312	312	92
313	313	74
314	314	90
315	315	66
316	316	75
317	317	65
318	318	73
319	319	71
320	320	85
321	321	62
322	322	65
323	323	89
324	324	69
325	325	81
326	326	81
327	327	79
328	328	66
329	329	78
330	330	90
331	331	71
332	332	63
333	333	86
334	334	96
335	335	73
336	336	79
337	337	77
338	338	93
339	339	75
340	340	80
341	341	84
342	342	83
343	343	87
344	344	69
345	345	67
346	346	78
347	347	74
348	348	64
349	349	90
350	350	92
351	351	78
352	352	103
353	353	94
354	354	90
355	355	61
356	356	92
357	357	88
358	358	76
359	359	73
360	360	107
361	361	72
362	362	114
363	363	79
364	364	80
365	365	79
366	366	87
367	367	78
368	368	97
369	369	83
370	370	89
371	371	64
372	372	70
373	373	94
374	374	81
375	375	75
376	376	92
377	377	97
378	378	80
379	379	90
380	380	83
381	381	78
382	382	75
383	383	91
384	384	104
385	385	93
386	386	79
387	387	81
388	388	82
389	389	93
390	390	81
391	391	86
392	392	101
393	393	82
394	394	82
395	395	91
396	396	84
397	397	95
398	398	87
399	399	73
400	400	82
401	401	84
402	402	75
403	403	74
404	404	75
405	405	84
406	406	83
407	407	81
408	408	77
409	409	96
410	410	80
411	411	89
412	412	87
413	413	86
414	414	99
415	415	86
416	416	95
417	417	91
418	418	89
419	419	87
420	420	86
421	421	72
422	422	85
423	423	84
424	424	81
425	425	84
426	426	89
427	427	95
428	428	77
429	429	65
430	430	101
431	431	91
432	432	79
433	433	79
434	434	95
435	435	87
436	436	101
437	437	78
438	438	105
439	439	98
440	440	94
441	441	94
442	442	73
443	443	93
444	444	76
445	445	92
446	446	96
447	447	102
448	448	81
449	449	92
450	450	101
451	451	95
452	452	93
453	453	77
454	454	102
455	455	78
456	456	77
457	457	85
458	458	95
459	459	93
460	460	75
461	461	87
462	462	88
463	463	74
464	464	86
465	465	91
466	466	73
467	467	79
468	468	67
469	469	99
470	470	87
471	471	73
472	472	89
473	473	85
474	474	84
475	475	98
476	476	99
477	477	67
478	478	95
479	479	83
480	480	93
481	481	86
482	482	92
483	483	102
484	484	81
485	485	105
486	486	100
487	487	81
488	488	92
489	489	94
490	490	96
491	491	83
492	492	78
493	493	80
494	494	82
495	495	83
496	496	82
497	497	93
498	498	94
499	499	78
500	500	80
501	501	89
502	502	76
503	503	75
504	504	75
505	505	86
506	506	96
507	507	82
508	508	79
509	509	94
510	510	87
511	511	91
512	512	101
513	513	89
514	514	86
515	515	113
516	516	78
517	517	83
518	518	89
519	519	96
520	520	89
521	521	79
522	522	85
523	523	110
524	524	96
525	525	96
526	526	86
527	527	108
528	528	86
529	529	103
530	530	74
531	531	100
532	532	99
533	533	111
534	534	100
535	535	97
536	536	115
537	537	86
538	538	92
539	539	90
540	540	119
541	541	102
542	542	103
543	543	102
544	544	94
545	545	96
546	546	107
547	547	112
548	548	93
549	549	80
550	550	89
551	551	113
552	552	99
553	553	90
554	554	100
555	555	87
556	556	109
557	557	85
558	558	102
559	559	94
560	560	90
561	561	87
562	562	89
563	563	90
564	564	95
565	565	80
566	566	111
567	567	92
568	568	97
569	569	91
570	570	92
571	571	93
572	572	97
573	573	84
574	574	100
575	575	67
576	576	76
577	577	75
578	578	90
579	579	95
580	580	91
581	581	87
582	582	79
583	583	82
584	584	106
585	585	92
586	586	68
587	587	74
588	588	82
589	589	86
590	590	96
591	591	81
592	592	72
593	593	75
594	594	76
595	595	74
596	596	86
597	597	82
598	598	88
599	599	79
600	600	64
601	601	83
602	602	88
603	603	85
604	604	67
605	605	81
606	606	78
607	607	91
608	608	79
609	609	85
610	610	89
611	611	80
612	612	68
613	613	78
614	614	75
615	615	78
616	616	82
617	617	73
618	618	73
619	619	78
620	620	102
621	621	80
622	622	64
623	623	84
